epoch,train_loss,train_accuracy,val_loss,val_accuracy,top3_accuracy,top5_accuracy,precision,recall,f1,supergenre_accuracy,supergenre_top3_accuracy,mean_distance,std_distance
1,4.574037321787032,0.07889575730493285,5.321357638021059,0.04629080118694362,0.11612264811992645,0.16894163191318512,0.02947998856259519,0.044864471326164876,0.02510720196863773,0.17606330365974282,0.33006923837784374,3.733135461807251,1.8237179517745972
2,3.671953583520556,0.26555944489958044,4.63010917886903,0.10385756676557864,0.21137486398220062,0.2913946509361267,0.10591197699128745,0.09836371066209774,0.08402228289806084,0.2466864490603363,0.4658753709198813,3.176755666732788,1.8065273761749268
3,3.07110311833639,0.46178098855539834,4.866733579695979,0.0980217606330366,0.20662710070610046,0.28021758794784546,0.11049655131004445,0.09864748266966007,0.08228606811225218,0.2625123639960435,0.46696340257171115,3.188229560852051,1.8440752029418945
4,2.6344881508085463,0.6261761128075272,4.939938261539122,0.11097922848664689,0.23501482605934143,0.3169139325618744,0.09606067525879655,0.11075391902004804,0.08919061187889323,0.30108803165182985,0.494757665677547,2.9373886585235596,1.8391486406326294
5,2.1329910363469806,0.8284799285022716,4.6817021415203435,0.13392680514342237,0.2571711242198944,0.34658753871917725,0.12630642085243926,0.13054194909033617,0.11708628745542364,0.3223541048466865,0.5209693372898121,2.836498498916626,1.861425757408142
6,1.9371096497490292,0.8880861944837516,4.930364585375484,0.11543026706231455,0.24421364068984985,0.32037585973739624,0.11447035723267433,0.11417869205167593,0.10043618366965819,0.3084075173095945,0.4894164193867458,2.895944595336914,1.846051812171936
7,1.7777088309091236,0.9278319803381246,4.799003644080102,0.12868447082096934,0.26063302159309387,0.3467853367328644,0.1315337664576142,0.12638833500728663,0.11624606543418141,0.3131552917903066,0.5111770524233432,2.8303658962249756,1.830595850944519
8,1.5549539132723733,0.98331719669323,4.696195089364354,0.1420375865479723,0.2621167004108429,0.3426310420036316,0.13002809681079638,0.139931747240215,0.12563456199656842,0.33303659742828884,0.5090999010880316,2.743224620819092,1.8436623811721802
9,1.4807009562613471,0.9919316799483627,4.728974345364148,0.12640949554896141,0.25242334604263306,0.33422353863716125,0.11980882494126671,0.1258823949348143,0.11229540310432133,0.3207715133531157,0.4920870425321464,2.78674578666687,1.8332996368408203
10,1.4439980743423342,0.9953576127702887,4.729511941535564,0.1298714144411474,0.2551928758621216,0.34015825390815735,0.12916542784033253,0.128080320217417,0.11764354971169491,0.3269040553907023,0.4998021760633037,2.7542037963867188,1.811259388923645
11,1.3775015952095153,0.9986594175914203,4.639849029009855,0.1288822947576657,0.25548961758613586,0.3374876379966736,0.12202113681949263,0.12807385826539053,0.1154513795961897,0.3344213649851632,0.5010880316518299,2.6757664680480957,1.788753867149353
12,1.3545792148226783,0.9988083711923735,4.616060690034794,0.1298714144411474,0.26063302159309387,0.34223538637161255,0.12809342701957874,0.12906309080704242,0.11758473095428529,0.3355093966369931,0.511078140454995,2.6816024780273438,1.796834945678711
13,1.346698755120474,0.9985352895906259,4.585762967037249,0.12868447082096934,0.25835806131362915,0.3431256115436554,0.13254038889683345,0.12795335824569695,0.11826513834763991,0.332542037586548,0.5028684470820969,2.638476848602295,1.7802855968475342
14,1.3260320699404156,0.9987587199920558,4.557165717776818,0.13066271018793274,0.2603362798690796,0.3423343002796173,0.12809121111632202,0.13010438821930756,0.11934926306213307,0.3387734915924827,0.5091988130563798,2.6064293384552,1.7743676900863647
15,1.317076235347324,0.9987835455922147,4.546672181238102,0.13066271018793274,0.2577645778656006,0.3408506214618683,0.1326121664248292,0.1305586942179684,0.12048671823922039,0.33897131552917903,0.5071216617210682,2.6001977920532227,1.7605159282684326
16,1.314085294897594,0.9986345919912614,4.517412648925299,0.1288822947576657,0.25816023349761963,0.3433234393596649,0.13228327397802464,0.12888061759029504,0.11988009232507205,0.33659742828882294,0.511078140454995,2.5962412357330322,1.7663459777832031
17,1.3047219176141043,0.9988331967925325,4.527300691302819,0.1273986152324431,0.2584569752216339,0.339465856552124,0.1304988102372626,0.12775586868328803,0.11741087152036828,0.3399604352126607,0.5100890207715133,2.582096815109253,1.753629446029663
18,1.3012313719779727,0.9988828479928502,4.518603899810888,0.129080118694362,0.25756675004959106,0.33916911482810974,0.13018441442433015,0.12947819429674268,0.11726833652291299,0.337784371909001,0.5078140454995055,2.5891196727752686,1.7627958059310913
19,1.299004590511322,0.9988580223926914,4.520846784869327,0.13006923837784373,0.25756675004959106,0.33709198236465454,0.13115682161500192,0.1309712129268581,0.11882268898521145,0.33788328387734917,0.5056379821958457,2.581503391265869,1.7588952779769897
20,1.2951250984555198,0.9988083711923735,4.501954446865033,0.1288822947576657,0.25786349177360535,0.33837783336639404,0.13386265874677303,0.12930316771042577,0.11912638213411475,0.3421364985163205,0.5079129574678536,2.5629079341888428,1.7484357357025146
21,1.2933090665983775,0.9990069759936446,4.502269542669948,0.12997032640949555,0.25855588912963867,0.33916911482810974,0.1346591155016781,0.1305110604001733,0.11999382742760915,0.34164193867457965,0.5093966369930761,2.5614242553710938,1.755940556526184
22,1.2920945122128442,0.9989573247933269,4.51012924954861,0.1280909990108803,0.2592482566833496,0.3433234393596649,0.13340788181866575,0.12840907971956358,0.11851827631185698,0.3396636993076162,0.5077151335311573,2.564589500427246,1.7450330257415771
23,1.2899982870571196,0.9990318015938036,4.499772888195666,0.12997032640949555,0.2582591474056244,0.33966368436813354,0.13321049048608885,0.13085403619677813,0.1196709774950204,0.3409495548961424,0.5097922848664689,2.5618200302124023,1.7538410425186157
24,1.2895407532888745,0.9989573247933269,4.492752983600279,0.12967359050445104,0.2577645778656006,0.33986151218414307,0.1329564751402155,0.13070547284256961,0.11974861784170099,0.342433234421365,0.5117705242334323,2.5485658645629883,1.7561743259429932
25,1.2886847660655067,0.9989573247933269,4.4989812856988065,0.13283877349159248,0.2568743824958801,0.339465856552124,0.13706757044192613,0.13283840935050611,0.122326280068979,0.34362017804154305,0.5121661721068249,2.541246175765991,1.7505507469177246
26,1.287578270927308,0.9990069759936446,4.501027861727944,0.13066271018793274,0.25707221031188965,0.3373887240886688,0.13598549106444893,0.13125129239040528,0.12028149498560774,0.34164193867457965,0.5086053412462908,2.5584568977355957,1.7628449201583862
27,1.2874416907628377,0.9989573247933269,4.498803116098235,0.13026706231454005,0.2553907036781311,0.3381800055503845,0.1344622548590758,0.13121990576627673,0.12022203137546336,0.3440158259149357,0.5101879327398615,2.536795139312744,1.741131067276001
28,1.2867570002873738,0.9989573247933269,4.490286789362943,0.13125618199802175,0.25855588912963867,0.3381800055503845,0.13718955667761054,0.13213276418921577,0.12156230952336809,0.34352126607319483,0.5124629080118694,2.5393669605255127,1.7494069337844849
29,1.2863453397675166,0.9991062783942802,4.498823467689224,0.12898120672601385,0.2544015645980835,0.337982177734375,0.13529340917176283,0.13008063285281027,0.11954957889448181,0.3411473788328388,0.5099901088031652,2.546884298324585,1.7399791479110718
30,1.2862579820648072,0.9990318015938036,4.49240814583211,0.1304648862512364,0.25855588912963867,0.33728981018066406,0.13607002398334125,0.1316115000590807,0.12153823918917167,0.3417408506429278,0.509297725024728,2.5532145500183105,1.750623345375061
31,1.2857528803840517,0.998932499193168,4.49805043015299,0.12898120672601385,0.2525222599506378,0.336894154548645,0.13374513999172852,0.1296574057662767,0.11878270584240243,0.3411473788328388,0.5084075173095944,2.5451037883758545,1.7402536869049072
32,1.2857456510029142,0.9990318015938036,4.500241555745089,0.12957467853610286,0.2568743824958801,0.33808109164237976,0.13682728358512714,0.13113510033872938,0.12045852871688151,0.342433234421365,0.5114737883283877,2.536597490310669,1.7362422943115234
33,1.285805356502533,0.9990069759936446,4.497059115880652,0.1297725024727992,0.2553907036781311,0.3374876379966736,0.13442023821296084,0.13078147770688092,0.11989658347018578,0.34381800197823936,0.5090999010880316,2.540949583053589,1.7429122924804688
34,1.2855810172974118,0.999155929594598,4.5001252135144005,0.12838773491592484,0.2548961341381073,0.3363995850086212,0.13282627346429013,0.12928058164953327,0.11832532913808691,0.33818001978239365,0.5096933728981207,2.551335334777832,1.7450765371322632
35,1.2853343886042399,0.9990069759936446,4.493191310122043,0.1301681503461919,0.2563798129558563,0.33788326382637024,0.13552572377490182,0.1308838842609004,0.12066410129390057,0.343026706231454,0.5117705242334323,2.535806179046631,1.738991379737854
36,1.285300514054677,0.999131103994439,4.491390611551985,0.1298714144411474,0.2548961341381073,0.337982177734375,0.1360584576007051,0.1302742452440033,0.12019332481089749,0.34263105835806135,0.5085064292779427,2.5392680168151855,1.7452764511108398
37,1.2852231073001075,0.9991062783942802,4.492922447904756,0.12967359050445104,0.25479722023010254,0.3377843499183655,0.1344276947851083,0.13041345415337352,0.11982642673989302,0.3420375865479723,0.5102868447082097,2.5437190532684326,1.7425044775009155
38,1.2855355434947544,0.9990069759936446,4.489607453346252,0.13125618199802175,0.2572700083255768,0.34015825390815735,0.13826060186261002,0.13159672988302018,0.12134108895480727,0.34352126607319483,0.5120672601384768,2.5375864505767822,1.7466732263565063
39,1.285077232595474,0.9991807551947568,4.498414344425443,0.1301681503461919,0.2558852434158325,0.33709198236465454,0.13503721834878493,0.1317183376659183,0.12024716622959668,0.3413452027695351,0.5121661721068249,2.540356159210205,1.7407680749893188
40,1.2854532459425547,0.9990566271939624,4.498485539532915,0.1281899109792285,0.2579624056816101,0.3399604260921478,0.1336375186796889,0.1288965570719603,0.11870732244620964,0.34282888229475766,0.5094955489614243,2.5399603843688965,1.7355413436889648
41,1.2854962619524153,0.9990566271939624,4.488211310362514,0.12937685459940654,0.2566765546798706,0.33907023072242737,0.13501503166250434,0.129724610067352,0.11985375014613897,0.34322453016815035,0.5117705242334323,2.5450048446655273,1.7457612752914429
42,1.2852058948032439,0.9990318015938036,4.49070713037177,0.12868447082096934,0.2553907036781311,0.33916911482810974,0.13478993395895172,0.12981901610933871,0.11917288365351371,0.3423343224530168,0.5103857566765578,2.5399603843688965,1.7396403551101685
43,1.285572041973235,0.9990069759936446,4.489912608001806,0.1287833827893175,0.2568743824958801,0.3382789194583893,0.13548648115046955,0.12915177340580566,0.11920245470337684,0.34015825914935705,0.5102868447082097,2.547675609588623,1.7508959770202637
44,1.2851565370484004,0.9990814527941213,4.497317241716988,0.1294757665677547,0.2563798129558563,0.33728981018066406,0.13503649371912244,0.12994142394344005,0.1194816586445246,0.34183976261127597,0.5118694362017804,2.5354104042053223,1.7362669706344604
45,1.2855094847225008,0.999131103994439,4.492686294302156,0.1301681503461919,0.2576656639575958,0.33837783336639404,0.1360393733667265,0.13137991600693213,0.12111390419262144,0.34520276953511375,0.5111770524233432,2.5341246128082275,1.746291160583496
46,1.2851985346703303,0.9990566271939624,4.493919146211842,0.12927794263105835,0.2539070248603821,0.33630067110061646,0.13517381628206201,0.1302390429910591,0.11941083842015626,0.3407517309594461,0.5090999010880316,2.549258232116699,1.7499479055404663
47,1.2848106251822577,0.9990566271939624,4.483272212970106,0.12997032640949555,0.25707221031188965,0.33986151218414307,0.136453141038669,0.13127750945291267,0.12031963131323258,0.3431256181998022,0.5121661721068249,2.540356159210205,1.7481398582458496
48,1.2853623980567568,0.999131103994439,4.495550713961637,0.12967359050445104,0.2548961341381073,0.3386745750904083,0.13445003145714615,0.13098949101973295,0.11976353392858058,0.3427299703264095,0.5099901088031652,2.5392680168151855,1.7407361268997192
49,1.2849515216691154,0.9990814527941213,4.49331520177141,0.13036597428288824,0.2564787268638611,0.3397625982761383,0.1356062932474419,0.1314991236362204,0.12084616465579068,0.34322453016815035,0.5123639960435212,2.5340256690979004,1.7367503643035889
50,1.285391472824036,0.9992055807949157,4.499679932111426,0.12898120672601385,0.2559841573238373,0.33550938963890076,0.13665568228384622,0.12966540627830953,0.12028653524780937,0.3423343224530168,0.5118694362017804,2.543916940689087,1.740909218788147
51,1.2850415314946855,0.9990814527941213,4.499453499347349,0.12828882294757665,0.25430265069007874,0.336498498916626,0.1346783016714302,0.12923436330694396,0.1192018475993948,0.3421364985163205,0.5073194856577646,2.5465874671936035,1.7382807731628418
52,1.28543099202807,0.9992055807949157,4.492706790755067,0.12997032640949555,0.255687415599823,0.3363995850086212,0.1330508765469706,0.1309734899956674,0.12002612769241516,0.3420375865479723,0.5099901088031652,2.5421364307403564,1.7447559833526611
53,1.2850893162545705,0.9990566271939624,4.488969929610627,0.13105835806132543,0.25578632950782776,0.34035608172416687,0.1371463175810527,0.1312975107329946,0.12155494283720886,0.34421364985163205,0.510484668644906,2.534619092941284,1.7466212511062622
54,1.2848078746644278,0.9990318015938036,4.49784478054771,0.12769535113748764,0.2568743824958801,0.3386745750904083,0.1351740518436745,0.1284237268108236,0.11863754405741696,0.3409495548961424,0.5095944609297725,2.546983242034912,1.740431308746338
55,1.285194945146167,0.9992055807949157,4.496948275385024,0.13125618199802175,0.25944608449935913,0.3376854360103607,0.13525757807539765,0.13190874985229825,0.12081596877143483,0.3411473788328388,0.5114737883283877,2.5436201095581055,1.7531471252441406
56,1.2856873031646485,0.999131103994439,4.4871411640432814,0.1297725024727992,0.25608307123184204,0.3389713168144226,0.1369156237481593,0.13025184381031157,0.12017515173437025,0.34263105835806135,0.5126607319485658,2.539663791656494,1.7429420948028564
57,1.2853215404919216,0.999155929594598,4.497674080389965,0.13056379821958458,0.25657764077186584,0.3377843499183655,0.1358495787203923,0.13136311493166333,0.12136863366461764,0.3427299703264095,0.5112759643916914,2.5377843379974365,1.7424728870391846
58,1.2849612529315646,0.9992055807949157,4.4927582846412175,0.13155291790306628,0.25430265069007874,0.33728981018066406,0.13760233147248285,0.1323343770924416,0.1211918464627328,0.3396636993076162,0.5089020771513353,2.5339267253875732,1.7436305284500122
59,1.285288677896772,0.9990318015938036,4.4932273626327515,0.13006923837784373,0.2558852434158325,0.3384767472743988,0.135197773590079,0.130732674583481,0.12050485093360712,0.3419386745796241,0.5097922848664689,2.532443046569824,1.7418423891067505
60,1.2847806839715867,0.9990566271939624,4.497496161279799,0.12967359050445104,0.2564787268638611,0.33758655190467834,0.13767659896448795,0.13076627673401864,0.12085844454199904,0.3431256181998022,0.5090009891196835,2.538872480392456,1.73499596118927
61,1.2851095566673885,0.9990069759936446,4.495135959190659,0.12828882294757665,0.25657764077186584,0.3392680287361145,0.13477334054257223,0.12878374985229823,0.1189283532169754,0.34263105835806135,0.5107814045499506,2.5452027320861816,1.746492624282837
62,1.2854179249869453,0.9992552319952335,4.495251782332795,0.13006923837784373,0.25529178977012634,0.3359050452709198,0.13424887202096208,0.1310510949623853,0.11992150091022873,0.3429277942631058,0.5111770524233432,2.5485658645629883,1.7461191415786743
63,1.2849117154166811,0.9991062783942802,4.498298349259775,0.12858555885262116,0.2566765546798706,0.337982177734375,0.1358032220082176,0.1288541543581866,0.1190816773036222,0.3421364985163205,0.5090009891196835,2.540356159210205,1.7374120950698853
64,1.285304904362512,0.9989573247933269,4.487815921819663,0.1324431256181998,0.2566765546798706,0.3397625982761383,0.14099960114231044,0.13304082230493522,0.12320696006439788,0.342433234421365,0.5081107814045499,2.542631149291992,1.7491607666015625
65,1.2851132254751902,0.999131103994439,4.4936313342444505,0.13026706231454005,0.25608307123184204,0.3381800055503845,0.13575404171796743,0.1311415007483556,0.12045419388947307,0.34441147378832837,0.510484668644906,2.5386745929718018,1.741204023361206
66,1.285133313375806,0.9989573247933269,4.501720997351635,0.1281899109792285,0.25529178977012634,0.336894154548645,0.1384057713238188,0.1291853755563433,0.12021156352840434,0.3409495548961424,0.5085064292779427,2.5545005798339844,1.7406667470932007
67,1.285114474145193,0.9991807551947568,4.496151773235466,0.1307616221562809,0.25736892223358154,0.3384767472743988,0.1374930994689214,0.13220876905352713,0.12134544886729753,0.343026706231454,0.510484668644906,2.530168056488037,1.7361950874328613
68,1.2849661626513043,0.9990814527941213,4.495214146903798,0.13155291790306628,0.25677546858787537,0.337982177734375,0.13642070074346693,0.13262959598645083,0.12149188447589093,0.3427299703264095,0.5120672601384768,2.5333333015441895,1.7379025220870972
69,1.2852433074088323,0.9991807551947568,4.491288794746882,0.13086053412462909,0.2559841573238373,0.3366963267326355,0.13583222284734,0.1318367452440033,0.12060288506257237,0.34352126607319483,0.5109792284866469,2.540158271789551,1.7496716976165771
70,1.2851549222355798,0.9990318015938036,4.494457425950449,0.12868447082096934,0.2571711242198944,0.3376854360103607,0.13345853066944366,0.12900616408680926,0.11900013724649079,0.3447082096933729,0.5091988130563798,2.551434278488159,1.7451869249343872
71,1.2854206459862845,0.9991807551947568,4.486694068848332,0.13165182987141444,0.2572700083255768,0.33907023072242737,0.13742072649440693,0.13265359752254913,0.12214911410191594,0.34263105835806135,0.5109792284866469,2.536696434020996,1.748277187347412
72,1.2846928000450135,0.999155929594598,4.492288557788994,0.12967359050445104,0.25786349177360535,0.33857566118240356,0.1357097902067123,0.13121830566387016,0.12073404518581256,0.3439169139465875,0.5114737883283877,2.536795139312744,1.7403923273086548
73,1.2854225153014773,0.9990814527941213,4.492965044854563,0.1301681503461919,0.25430265069007874,0.33580613136291504,0.13476535432843365,0.1309902910709362,0.11977874329075035,0.34055390702274974,0.5100890207715133,2.542532205581665,1.742987871170044
74,1.285340594299256,0.9989821503934858,4.4901028615009935,0.12828882294757665,0.25677546858787537,0.3381800055503845,0.13406806625717463,0.12939258881799204,0.1189936319242155,0.34322453016815035,0.5090999010880316,2.5452027320861816,1.7439987659454346
75,1.2849245332536243,0.9991807551947568,4.4929198796236065,0.12967359050445104,0.2576656639575958,0.3369930684566498,0.13741183023829734,0.13048865896648157,0.12077847471395611,0.3433234421364985,0.5094955489614243,2.530860424041748,1.7344156503677368
76,1.2851748364312308,0.999155929594598,4.490347495561914,0.1294757665677547,0.25578632950782776,0.3381800055503845,0.13520687020002972,0.13039745312930798,0.11940595281328771,0.3413452027695351,0.5091988130563798,2.538278818130493,1.7477338314056396
77,1.2851049918977042,0.9990318015938036,4.4944723090039025,0.1297725024727992,0.25736892223358154,0.33857566118240356,0.13425623363386677,0.13044662550710936,0.11933781707924117,0.34223541048466866,0.511078140454995,2.541048526763916,1.750555396080017
