,alt,blu,brb,cla,con,cou,dnb,dtp,fol,gld,gos,hcp,hct,hou,ind,jam,jaz,met,pop,pwv,rap,rnb,rnr,tec,tra,uti,woA,woB,woC
alt,113,8,3,0,8,17,1,22,1,47,1,21,5,0,9,1,5,71,1,61,5,2,4,1,0,0,0,0,1
blu,1,117,1,0,2,12,1,24,13,33,19,0,0,1,4,13,47,5,9,2,1,62,40,4,0,2,8,1,10
brb,8,0,113,2,3,1,41,9,2,0,0,4,25,34,11,22,34,0,7,5,66,15,2,15,8,2,1,0,2
cla,0,0,2,15,0,0,0,2,1,0,1,0,5,0,7,0,7,0,0,0,0,0,1,0,0,5,0,0,2
con,53,5,11,4,15,12,5,11,1,26,2,15,0,5,13,10,16,5,35,35,6,12,7,3,0,2,1,2,0
cou,12,10,1,1,7,77,0,11,42,46,7,5,0,0,2,0,30,3,1,2,0,28,47,0,0,0,0,4,0
dnb,1,1,26,0,2,0,285,21,0,2,1,3,23,6,8,1,3,0,8,1,20,5,0,7,5,0,0,2,1
dtp,15,10,13,6,6,10,21,137,0,21,10,1,4,24,32,2,29,9,23,4,31,25,5,23,36,3,4,0,0
fol,4,4,0,2,0,2,0,6,5,3,1,1,0,0,1,0,1,0,0,1,0,0,0,0,2,3,3,0,9
gld,21,17,0,1,6,28,2,17,0,110,4,2,1,1,11,0,19,8,24,32,2,29,20,2,1,0,1,1,0
gos,1,23,0,1,2,3,5,3,3,5,46,0,0,2,0,2,6,0,1,0,0,10,1,1,0,3,0,1,1
hcp,47,0,0,0,28,0,3,2,0,4,0,75,8,7,8,0,1,47,3,38,3,1,1,1,1,1,0,0,0
hct,13,1,17,0,4,1,32,19,3,1,7,1,174,44,25,3,5,0,3,1,2,7,0,32,10,0,1,2,0
hou,1,0,20,2,5,1,11,15,1,12,0,0,44,218,20,4,11,1,15,5,2,30,2,34,59,0,1,4,4
ind,38,2,4,0,4,3,8,36,1,16,3,23,11,21,123,3,13,28,28,60,4,8,1,22,39,2,1,0,2
jam,8,14,11,0,1,0,22,3,1,12,0,0,5,4,1,219,12,0,6,6,72,38,13,4,1,0,0,2,1
jaz,1,49,17,6,1,2,2,35,6,21,5,2,0,12,5,5,238,1,17,3,17,38,3,3,0,1,3,8,3
met,76,9,1,1,9,2,3,8,0,21,0,52,1,1,39,0,7,260,14,52,8,7,1,1,3,0,0,0,0
pop,16,9,48,3,15,12,2,16,16,60,12,11,9,42,28,6,13,40,85,46,14,61,15,14,18,1,1,11,0
pwv,33,20,1,0,6,12,0,0,0,42,0,28,0,9,8,19,1,31,18,92,2,13,8,0,2,0,0,2,1
rap,0,0,55,0,1,1,8,2,0,1,1,3,5,24,2,48,14,0,5,2,252,17,0,0,0,0,0,0,3
rnb,3,35,15,0,3,9,8,27,1,55,4,3,2,14,6,24,53,0,31,19,49,210,14,0,3,2,5,2,3
rnr,2,4,0,0,0,30,0,4,3,40,10,0,2,1,5,7,15,2,7,9,0,31,37,0,0,1,0,3,0
tec,2,0,12,0,5,0,7,21,0,1,0,0,17,58,3,0,4,0,2,2,14,0,0,80,60,0,0,0,0
tra,0,0,4,0,1,1,3,12,0,1,0,2,13,67,3,0,1,1,3,2,1,0,0,30,191,0,0,0,0
uti,0,6,0,17,0,0,0,9,0,2,13,0,1,0,5,0,23,2,9,1,0,1,2,0,0,53,0,0,0
woA,0,0,3,0,0,0,5,7,0,2,0,0,1,0,0,8,8,0,0,0,0,3,0,0,0,0,47,10,2
woB,0,2,7,0,3,5,1,1,6,2,1,0,4,9,3,8,26,0,1,2,13,8,0,4,1,3,0,33,1
woC,0,1,3,0,0,1,0,13,2,10,1,1,4,6,5,20,7,1,3,2,19,37,1,0,4,0,6,5,40
