,alt,blu,brb,cla,con,cou,dnb,dtp,fol,gld,gos,hcp,hct,hou,ind,jam,jaz,met,pop,pwv,rap,rnb,rnr,tec,tra,uti,woA,woB,woC
alt,124,5,2,0,5,10,3,18,2,36,0,19,0,0,34,3,1,76,12,46,4,1,5,0,0,0,0,2,0
blu,0,108,2,2,0,28,3,23,21,16,20,0,0,0,9,22,56,5,8,2,0,79,15,0,0,7,0,2,4
brb,4,5,101,3,1,1,31,10,1,1,0,4,35,27,22,39,24,2,3,4,67,21,1,13,10,2,0,0,0
cla,1,2,15,2,0,0,0,14,0,0,1,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1
con,42,1,6,0,8,13,7,8,0,32,2,9,6,5,12,15,15,20,32,43,3,18,1,11,1,0,0,2,0
cou,16,15,2,1,4,106,0,12,56,38,3,4,0,2,5,3,27,3,1,9,0,21,6,1,0,0,0,1,0
dnb,3,1,16,0,1,1,282,33,0,3,1,5,21,1,11,4,1,4,6,1,10,0,2,14,4,0,0,0,7
dtp,9,5,21,11,3,1,13,125,6,14,3,4,10,18,27,2,44,7,26,19,25,17,3,33,53,2,1,1,1
fol,0,3,0,4,0,3,0,8,0,5,1,0,0,0,6,0,2,2,0,0,0,1,0,0,0,9,0,0,4
gld,35,9,1,1,5,41,1,5,0,107,5,3,0,5,23,0,19,11,15,20,2,33,14,0,2,3,0,0,0
gos,0,19,0,0,0,6,0,4,6,6,32,0,0,1,0,0,8,0,4,0,0,17,2,0,0,8,7,0,0
hcp,50,0,0,0,29,0,0,2,0,9,1,68,0,4,12,0,0,68,4,18,5,2,1,2,4,0,0,0,0
hct,0,2,41,1,0,1,27,22,0,3,7,0,170,29,45,3,6,1,1,1,3,3,2,20,15,3,2,0,0
hou,4,0,37,0,13,0,6,10,1,9,0,0,42,182,16,8,1,1,18,4,11,37,2,48,66,0,3,3,0
ind,30,2,8,4,6,3,7,27,3,27,2,31,18,42,124,0,3,41,16,33,3,5,9,16,44,0,0,0,0
jam,2,2,26,0,2,6,11,4,5,10,0,1,7,6,1,240,12,0,12,11,49,32,9,3,1,0,0,0,4
jaz,1,50,24,4,0,15,1,28,1,22,4,1,5,20,8,28,217,10,4,7,11,17,8,3,1,4,2,4,4
met,74,4,1,1,7,6,1,7,0,19,2,76,4,0,28,1,1,255,14,61,8,1,2,2,0,0,0,1,0
pop,37,12,42,1,32,16,9,13,13,61,2,8,14,41,16,6,14,26,90,27,7,93,10,21,7,5,0,1,0
pwv,20,5,1,0,6,10,1,1,0,35,1,22,0,4,17,12,2,35,18,110,1,38,8,0,1,0,0,0,0
rap,3,0,52,0,7,0,13,4,0,4,0,7,8,45,5,35,2,1,2,0,219,20,0,11,0,0,0,0,6
rnb,2,19,20,0,2,15,22,14,5,41,12,0,2,3,11,32,70,6,28,13,28,223,22,0,1,2,0,2,5
rnr,4,8,4,0,1,35,0,3,6,33,13,0,3,0,3,4,8,2,9,1,0,26,48,0,0,0,0,0,2
tec,1,0,22,0,0,0,5,21,0,1,0,0,33,60,10,1,4,0,1,0,1,2,0,76,50,0,0,0,0
tra,0,0,5,0,0,0,5,11,0,1,0,1,6,55,8,0,0,1,9,0,1,2,0,29,202,0,0,0,0
uti,0,0,0,31,0,10,0,2,0,8,3,0,0,0,0,0,16,0,4,0,0,0,9,0,0,61,0,0,0
woA,0,0,0,1,0,2,0,2,1,2,0,0,1,0,0,0,8,0,3,2,2,4,0,1,0,2,31,18,16
woB,0,8,0,0,0,0,2,23,0,0,1,0,8,7,0,31,15,0,0,1,6,0,0,3,1,0,4,34,0
woC,5,1,9,0,0,0,2,8,0,6,0,0,3,4,5,19,18,3,3,2,9,33,0,1,7,0,3,7,44
