,alt,blu,brb,cla,con,cou,dnb,dtp,fol,gld,gos,hcp,hct,hou,ind,jam,jaz,met,pop,pwv,rap,rnb,rnr,tec,tra,uti,woA,woB,woC
alt,21.07843137254902,1.9607843137254901,0.9803921568627451,0.0,1.4705882352941175,6.372549019607843,0.0,5.392156862745098,0.0,5.392156862745098,0.0,8.57843137254902,0.0,0.0,5.88235294117647,0.24509803921568626,0.24509803921568626,27.205882352941174,1.715686274509804,10.049019607843137,2.2058823529411766,0.0,0.49019607843137253,0.0,0.0,0.0,0.24509803921568626,0.0,0.49019607843137253
blu,0.0,42.129629629629626,0.0,0.0,0.0,5.092592592592593,0.0,4.166666666666666,4.166666666666666,3.935185185185185,2.7777777777777777,0.0,0.4629629629629629,0.6944444444444444,0.4629629629629629,2.083333333333333,9.49074074074074,0.23148148148148145,3.2407407407407405,0.23148148148148145,0.4629629629629629,11.11111111111111,4.861111111111112,0.0,0.0,0.0,0.0,0.6944444444444444,3.7037037037037033
brb,0.9259259259259258,0.0,24.305555555555554,0.0,0.0,0.23148148148148145,8.333333333333332,1.8518518518518516,0.4629629629629629,0.4629629629629629,1.6203703703703702,0.6944444444444444,5.324074074074074,6.25,6.481481481481481,9.953703703703704,3.935185185185185,0.4629629629629629,0.0,1.1574074074074074,16.89814814814815,4.861111111111112,0.0,0.6944444444444444,0.9259259259259258,1.3888888888888888,0.9259259259259258,0.6944444444444444,1.1574074074074074
cla,2.083333333333333,0.0,0.0,18.75,0.0,0.0,0.0,10.416666666666668,0.0,0.0,6.25,0.0,0.0,0.0,20.833333333333336,0.0,25.0,2.083333333333333,0.0,0.0,0.0,0.0,4.166666666666666,0.0,0.0,6.25,0.0,4.166666666666666,0.0
con,12.82051282051282,5.448717948717949,1.6025641025641024,0.0,5.769230769230769,3.8461538461538463,2.564102564102564,1.282051282051282,1.9230769230769231,8.333333333333332,1.282051282051282,3.8461538461538463,0.0,0.641025641025641,2.8846153846153846,2.2435897435897436,3.5256410256410255,4.487179487179487,8.974358974358974,11.217948717948719,0.9615384615384616,8.333333333333332,2.2435897435897436,0.641025641025641,0.641025641025641,0.0,0.0,0.641025641025641,3.8461538461538463
cou,2.083333333333333,10.416666666666668,0.2976190476190476,1.1904761904761905,1.7857142857142856,29.464285714285715,0.0,2.6785714285714284,8.333333333333332,11.30952380952381,2.6785714285714284,0.2976190476190476,0.0,0.0,1.488095238095238,0.0,4.166666666666666,3.571428571428571,2.083333333333333,0.8928571428571428,0.0,4.166666666666666,3.571428571428571,0.2976190476190476,0.0,2.976190476190476,1.1904761904761905,1.7857142857142856,3.273809523809524
dnb,3.935185185185185,0.0,8.333333333333332,0.0,1.3888888888888888,0.0,59.02777777777778,6.018518518518518,0.0,0.23148148148148145,0.0,0.6944444444444444,3.009259259259259,0.9259259259259258,0.9259259259259258,1.3888888888888888,0.4629629629629629,0.6944444444444444,0.6944444444444444,0.0,5.555555555555555,0.9259259259259258,0.0,2.314814814814815,1.6203703703703702,0.23148148148148145,0.23148148148148145,0.23148148148148145,1.1574074074074074
dtp,1.7857142857142856,3.373015873015873,3.373015873015873,2.976190476190476,1.7857142857142856,1.984126984126984,3.7698412698412698,17.46031746031746,0.5952380952380952,1.1904761904761905,0.992063492063492,0.3968253968253968,1.1904761904761905,3.1746031746031744,11.11111111111111,0.5952380952380952,5.555555555555555,3.571428571428571,3.7698412698412698,2.380952380952381,4.563492063492063,5.952380952380952,0.5952380952380952,3.968253968253968,6.15079365079365,1.7857142857142856,2.7777777777777777,2.1825396825396823,0.992063492063492
fol,18.75,8.333333333333332,0.0,0.0,0.0,0.0,2.083333333333333,0.0,8.333333333333332,18.75,10.416666666666668,0.0,0.0,0.0,2.083333333333333,2.083333333333333,4.166666666666666,0.0,2.083333333333333,10.416666666666668,0.0,0.0,2.083333333333333,0.0,0.0,6.25,0.0,4.166666666666666,0.0
gld,2.7777777777777777,5.277777777777778,0.2777777777777778,0.0,1.3888888888888888,11.944444444444445,0.0,3.6111111111111107,0.8333333333333334,22.22222222222222,1.9444444444444444,0.8333333333333334,0.8333333333333334,0.0,1.1111111111111112,0.0,4.166666666666666,5.277777777777778,16.38888888888889,5.555555555555555,0.5555555555555556,10.555555555555555,1.1111111111111112,0.0,0.8333333333333334,1.9444444444444444,0.0,0.2777777777777778,0.2777777777777778
gos,0.0,16.666666666666664,0.0,0.0,0.0,4.166666666666666,0.0,2.5,10.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,6.666666666666667,0.0,8.333333333333332,0.0,0.0,4.166666666666666,8.333333333333332,0.0,0.0,3.3333333333333335,0.8333333333333334,0.8333333333333334,4.166666666666666
hcp,17.562724014336915,0.0,1.0752688172043012,0.0,2.867383512544803,0.0,0.7168458781362007,0.7168458781362007,0.0,1.0752688172043012,0.0,19.71326164874552,1.7921146953405016,1.4336917562724014,3.942652329749104,0.0,0.7168458781362007,37.634408602150536,1.4336917562724014,5.376344086021505,1.7921146953405016,0.0,0.0,1.4336917562724014,0.35842293906810035,0.35842293906810035,0.0,0.0,0.0
hct,0.24509803921568626,0.49019607843137253,2.2058823529411766,0.0,0.0,0.0,5.88235294117647,3.1862745098039214,0.24509803921568626,0.24509803921568626,2.696078431372549,1.9607843137254901,47.549019607843135,5.88235294117647,12.990196078431374,0.7352941176470588,0.49019607843137253,0.49019607843137253,1.9607843137254901,0.24509803921568626,0.7352941176470588,0.7352941176470588,0.0,3.1862745098039214,4.411764705882353,0.7352941176470588,0.24509803921568626,1.4705882352941175,0.9803921568627451
hou,0.9578544061302682,0.19157088122605362,3.6398467432950192,0.19157088122605362,0.19157088122605362,0.0,1.7241379310344827,2.681992337164751,0.7662835249042145,0.7662835249042145,0.19157088122605362,0.19157088122605362,9.386973180076629,35.82375478927203,3.256704980842912,1.9157088122605364,0.19157088122605362,0.0,5.172413793103448,0.38314176245210724,1.532567049808429,8.045977011494253,0.19157088122605362,7.2796934865900385,13.026819923371647,0.19157088122605362,0.19157088122605362,0.7662835249042145,1.1494252873563218
ind,4.9603174603174605,0.7936507936507936,0.992063492063492,0.5952380952380952,0.1984126984126984,0.3968253968253968,1.3888888888888888,6.944444444444445,0.0,3.1746031746031744,0.3968253968253968,7.142857142857142,2.579365079365079,10.912698412698413,25.0,0.992063492063492,1.3888888888888888,9.325396825396826,3.373015873015873,7.142857142857142,0.3968253968253968,1.984126984126984,0.1984126984126984,3.1746031746031744,4.761904761904762,0.7936507936507936,0.0,0.3968253968253968,0.5952380952380952
jam,1.7543859649122806,1.3157894736842104,3.9473684210526314,0.0,0.0,0.0,2.850877192982456,1.0964912280701753,1.7543859649122806,0.8771929824561403,0.0,0.21929824561403508,0.0,0.21929824561403508,0.21929824561403508,56.79824561403509,1.0964912280701753,0.0,0.43859649122807015,0.21929824561403508,10.526315789473683,7.456140350877193,0.6578947368421052,0.0,0.0,0.0,1.5350877192982455,1.9736842105263157,5.0438596491228065
jaz,0.1984126984126984,13.492063492063492,0.992063492063492,1.1904761904761905,0.0,2.1825396825396823,0.5952380952380952,7.5396825396825395,0.5952380952380952,3.373015873015873,0.3968253968253968,0.1984126984126984,0.1984126984126984,1.984126984126984,0.5952380952380952,6.944444444444445,38.492063492063494,0.1984126984126984,1.984126984126984,0.3968253968253968,2.7777777777777777,9.920634920634921,0.0,0.1984126984126984,0.0,1.1904761904761905,1.984126984126984,0.7936507936507936,1.5873015873015872
met,10.069444444444445,1.215277777777778,0.0,0.0,1.0416666666666665,1.215277777777778,0.0,0.5208333333333333,0.0,1.9097222222222223,0.0,11.979166666666668,0.1736111111111111,0.0,5.381944444444445,0.0,0.5208333333333333,56.94444444444444,2.7777777777777777,2.7777777777777777,1.7361111111111112,0.5208333333333333,0.5208333333333333,0.0,0.3472222222222222,0.3472222222222222,0.0,0.0,0.0
pop,3.5256410256410255,3.8461538461538463,5.128205128205128,0.0,2.083333333333333,3.0448717948717947,0.9615384615384616,2.564102564102564,2.083333333333333,6.089743589743589,2.8846153846153846,1.9230769230769231,0.4807692307692308,4.326923076923077,7.532051282051282,1.7628205128205128,0.641025641025641,9.134615384615383,12.5,5.128205128205128,4.807692307692308,13.461538461538462,1.282051282051282,2.2435897435897436,0.0,0.641025641025641,0.16025641025641024,1.4423076923076923,0.3205128205128205
pwv,6.896551724137931,2.2988505747126435,0.0,0.0,2.2988505747126435,2.8735632183908044,0.0,0.28735632183908044,0.0,11.494252873563218,0.0,10.919540229885058,0.0,0.0,2.2988505747126435,3.1609195402298855,0.28735632183908044,10.344827586206897,3.4482758620689653,31.896551724137932,0.0,8.045977011494253,1.7241379310344827,0.0,0.0,0.0,0.0,0.28735632183908044,1.4367816091954022
rap,0.45045045045045046,1.1261261261261262,6.081081081081082,0.22522522522522523,0.22522522522522523,0.0,2.027027027027027,0.22522522522522523,0.0,0.45045045045045046,0.0,0.45045045045045046,4.72972972972973,1.5765765765765765,0.22522522522522523,11.036036036036036,0.9009009009009009,0.22522522522522523,1.3513513513513513,0.0,61.48648648648649,3.6036036036036037,0.22522522522522523,0.6756756756756757,0.45045045045045046,0.0,0.0,0.0,2.2522522522522523
rnb,1.1666666666666667,5.666666666666666,1.3333333333333335,0.0,0.5,0.5,2.666666666666667,3.833333333333333,0.33333333333333337,6.333333333333334,2.666666666666667,0.16666666666666669,0.0,1.1666666666666667,0.0,2.666666666666667,8.166666666666666,0.16666666666666669,3.6666666666666665,4.333333333333334,5.333333333333334,36.5,2.5,0.16666666666666669,0.0,0.33333333333333337,0.0,1.0,8.833333333333334
rnr,0.4694835680751174,4.694835680751173,0.0,0.0,0.0,8.450704225352112,0.0,5.164319248826291,3.286384976525822,9.389671361502346,5.164319248826291,0.4694835680751174,0.0,0.0,0.9389671361502347,3.755868544600939,2.3474178403755865,0.9389671361502347,0.4694835680751174,0.9389671361502347,0.0,16.431924882629108,33.80281690140845,0.0,0.0,3.286384976525822,0.0,0.0,0.0
tec,1.3888888888888888,0.0,4.166666666666666,0.0,0.3472222222222222,0.0,3.8194444444444446,7.291666666666667,0.0,0.6944444444444444,0.0,0.6944444444444444,11.458333333333332,21.180555555555554,1.0416666666666665,2.083333333333333,0.6944444444444444,0.0,1.0416666666666665,0.0,0.6944444444444444,0.0,0.0,17.01388888888889,25.694444444444443,0.0,0.0,0.0,0.6944444444444444
tra,0.2976190476190476,0.0,2.976190476190476,0.0,0.0,0.5952380952380952,1.7857142857142856,3.571428571428571,0.0,0.0,0.0,0.0,2.976190476190476,11.904761904761903,0.2976190476190476,0.5952380952380952,0.0,0.0,0.8928571428571428,0.0,0.2976190476190476,1.1904761904761905,0.0,12.797619047619047,58.333333333333336,0.0,0.2976190476190476,0.5952380952380952,0.5952380952380952
uti,0.0,0.6944444444444444,0.0,3.4722222222222223,0.0,6.944444444444445,0.0,2.083333333333333,2.083333333333333,0.0,4.861111111111112,0.0,0.0,0.0,1.3888888888888888,0.0,6.944444444444445,2.083333333333333,5.555555555555555,0.0,0.0,0.0,0.6944444444444444,0.0,0.0,63.19444444444444,0.0,0.0,0.0
woA,0.0,1.0416666666666665,0.0,0.0,0.0,2.083333333333333,2.083333333333333,11.458333333333332,0.0,1.0416666666666665,2.083333333333333,0.0,0.0,0.0,0.0,4.166666666666666,4.166666666666666,0.0,0.0,0.0,0.0,7.291666666666667,2.083333333333333,0.0,0.0,0.0,34.375,23.958333333333336,4.166666666666666
woB,1.3888888888888888,4.166666666666666,0.6944444444444444,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,2.083333333333333,0.0,11.11111111111111,2.083333333333333,0.6944444444444444,15.277777777777779,8.333333333333332,0.0,0.6944444444444444,0.0,6.944444444444445,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,40.97222222222222,0.0
woC,1.5625,4.6875,2.083333333333333,0.0,0.0,3.6458333333333335,0.0,3.125,1.0416666666666665,5.729166666666666,0.5208333333333333,0.0,0.5208333333333333,1.5625,2.083333333333333,11.458333333333332,2.604166666666667,0.0,4.6875,2.083333333333333,2.604166666666667,8.854166666666668,0.5208333333333333,1.0416666666666665,1.5625,0.0,1.5625,0.5208333333333333,35.9375
