epoch,train_loss,train_accuracy,val_loss,val_accuracy,top3_accuracy,top5_accuracy,precision,recall,f1,supergenre_accuracy,supergenre_top3_accuracy,mean_distance,std_distance
1,4.99516437167213,0.05794295077083488,5.055565525586951,0.05182987141444115,0.13353115320205688,0.19535113871097565,0.04356190076455022,0.05186622852953498,0.03004270217281633,0.22235410484668644,0.40148367952522257,3.41998028755188,1.8826162815093994
2,4.750687606750973,0.14386435292073185,4.975132032506662,0.07972304648862512,0.1769535094499588,0.2526211738586426,0.08346271753632167,0.07460877496159754,0.05500133391925264,0.25905044510385755,0.4149357072205737,3.1997032165527344,1.9352409839630127
3,4.592752581550961,0.238722971127827,5.09034684433074,0.07299703264094956,0.16547971963882446,0.22858555614948273,0.08251205746041569,0.07220222653690395,0.056446467072888494,0.2344213649851632,0.3909990108803165,3.3177051544189453,1.829878330230713
4,4.447829176887633,0.3476328790248504,5.020774836827928,0.09831849653808111,0.2248269021511078,0.3053412437438965,0.11189668983969371,0.09604748410191959,0.07613383668746396,0.29159248269040555,0.44629080118694364,3.079920768737793,1.901403546333313
5,4.216103282428923,0.5417690722673221,4.978565494691111,0.11711177052423344,0.24441146850585938,0.3331354856491089,0.11597505817315362,0.11448119532796952,0.10018471638720454,0.3225519287833828,0.486646884272997,2.8294758796691895,1.8453412055969238
6,4.081444798575507,0.6658970730617413,4.945712768595249,0.1208704253214639,0.2446092963218689,0.3233432173728943,0.11982854252379113,0.11684568231947264,0.10396300840488965,0.3294757665677547,0.48852621167161225,2.771216630935669,1.7978737354278564
7,3.9780697368440174,0.7619969712767806,4.952310429836239,0.11612265084075173,0.2361028641462326,0.31473788619041443,0.11934148354426896,0.11606006560643659,0.10377725705011792,0.33343224530168153,0.504055390702275,2.7306628227233887,1.8109698295593262
8,3.840744553671943,0.8965268985377721,4.945740495544041,0.11780415430267062,0.2348169982433319,0.3112759590148926,0.12610020787267037,0.1160573129827162,0.1109716582344537,0.3324431256181998,0.4944609297725025,2.646785259246826,1.7380563020706177
9,3.7913586586240737,0.9412626300240808,4.941763018995789,0.11760633036597429,0.2373887151479721,0.31909000873565674,0.12978244102221362,0.1156894796511732,0.10968445562463984,0.3309594460929772,0.4966369930761622,2.5670623779296875,1.7068241834640503
10,3.7652119977133616,0.963878751768824,4.944372768336069,0.11097922848664689,0.22848664224147797,0.3114737868309021,0.12865450001472387,0.10840513093537288,0.10443325518124241,0.332542037586548,0.4944609297725025,2.586646795272827,1.692201852798462
11,3.7217936867759343,0.9880588863235769,4.918487890537839,0.11978239366963403,0.243817999958992,0.3262116611003876,0.13641996233232745,0.11840522828426055,0.11092281892099208,0.34352126607319483,0.5048466864490604,2.512363910675049,1.688349723815918
12,3.7066652464488197,0.9931729599563069,4.922349390832654,0.11730959446092977,0.24292778968811035,0.32759642601013184,0.14083752876785152,0.11408879538919862,0.10975445208283083,0.34253214638971313,0.5033630069238377,2.5068249702453613,1.67715322971344
13,3.7009197106437077,0.9956306943720364,4.931053006684391,0.11186943620178041,0.23115725815296173,0.31088030338287354,0.13501633013710415,0.10893787552053683,0.10381994539184886,0.3354104846686449,0.5028684470820969,2.505934715270996,1.642771601676941
14,3.685920744850522,0.9978898239864948,4.91089198426606,0.11572700296735905,0.23372897505760193,0.3153313398361206,0.1390915255855179,0.11337848978978012,0.10922577997135809,0.33827893175074186,0.5047477744807122,2.4930760860443115,1.6511765718460083
15,3.6798201806961544,0.9981877311884014,4.90495652614786,0.11819980217606331,0.2373887151479721,0.31186941266059875,0.1348300081165936,0.11426527101930327,0.10999779154760866,0.3397626112759644,0.5057368941641939,2.47210693359375,1.6557419300079346
16,3.6771998132978165,0.9982622079888781,4.915705208490675,0.11236399604352126,0.23214638233184814,0.3050445020198822,0.1366030412836162,0.1099255023650185,0.1060407533245237,0.34025717111770526,0.5022749752720079,2.5031652450561523,1.6566904783248901
17,3.670519789059957,0.9988331967925325,4.910165146243796,0.11473788328387735,0.23234421014785767,0.31157270073890686,0.1372211837893701,0.1129955561911207,0.1067675235522608,0.3396636993076162,0.49950544015825915,2.4697329998016357,1.6455721855163574
18,3.6680558692841303,0.9990566271939624,4.9109818223204265,0.11266073194856578,0.23165182769298553,0.3071216642856598,0.1331995955219724,0.1103933868550804,0.10358021489169499,0.3386745796241345,0.5048466864490604,2.4738872051239014,1.6343638896942139
19,3.666142704373314,0.9988083711923735,4.912856022988535,0.11364985163204748,0.2335311472415924,0.3137487471103668,0.1395694042055778,0.11092808401276144,0.1063660059772105,0.3400593471810089,0.5010880316518299,2.458951473236084,1.639435887336731
20,3.6636462783056594,0.9988331967925325,4.908013909318209,0.11463897131552918,0.2335311472415924,0.31236398220062256,0.13834941359241823,0.11135719679066454,0.10570520787244644,0.34183976261127597,0.5019782393669634,2.4621167182922363,1.6467965841293335
21,3.6628370595356774,0.9990566271939624,4.909949289938816,0.11374876360039565,0.22957466542720795,0.3079129457473755,0.14134605683784118,0.11125380555824105,0.10637204588067022,0.3413452027695351,0.499406528189911,2.4536101818084717,1.6337323188781738
22,3.661305163777064,0.9990318015938036,4.909247776167329,0.11483679525222552,0.22818990051746368,0.3084075152873993,0.14225583606458508,0.11164739718167137,0.1066096512416629,0.3403560830860534,0.5027695351137488,2.446587562561035,1.6255654096603394
23,3.6602234514932785,0.9989573247933269,4.911937769513456,0.11335311572700296,0.23234421014785767,0.30692383646965027,0.13863142476215545,0.11152516838000709,0.10595433412228948,0.34342235410484667,0.5015825914935708,2.4499504566192627,1.629744291305542
24,3.6600273790813627,0.9990814527941213,4.909708884066573,0.11305637982195846,0.23135508596897125,0.30623143911361694,0.14133747165670568,0.11069835182738409,0.10540393592902975,0.3411473788328388,0.5014836795252225,2.4519288539886475,1.6307140588760376
25,3.659541863108438,0.998932499193168,4.9088218952616645,0.11335311572700296,0.22888228297233582,0.3071216642856598,0.13873619397845907,0.1105755747388812,0.10431108018550242,0.3421364985163205,0.5013847675568743,2.4547972679138184,1.6283071041107178
26,3.658431056946043,0.9989573247933269,4.911389749906183,0.11374876360039565,0.2301681488752365,0.30672600865364075,0.14130922700524032,0.11123441970216162,0.10529159704984804,0.3400593471810089,0.5016815034619189,2.461226463317871,1.6312041282653809
27,3.6580649852752685,0.9989573247933269,4.911610432831399,0.11463897131552918,0.23135508596897125,0.3048466742038727,0.1402191215592713,0.11167739630441244,0.10523736721498149,0.3410484668644906,0.49950544015825915,2.4373886585235596,1.6204825639724731
28,3.6581787722451344,0.999131103994439,4.914852966776469,0.11246290801186944,0.23105834424495697,0.306627094745636,0.14003947085215138,0.11022130311444828,0.10421693685756968,0.3421364985163205,0.5022749752720079,2.453115701675415,1.6364407539367676
29,3.6580998927827864,0.9990814527941213,4.907068584132737,0.11463897131552918,0.2286844700574875,0.30672600865364075,0.14098999677541155,0.11152262276254213,0.10614681808881403,0.3411473788328388,0.5018793273986152,2.452324390411377,1.6302402019500732
30,3.657335118263487,0.999155929594598,4.9070936079430885,0.11147378832838774,0.2286844700574875,0.3052423298358917,0.13923576475023017,0.10811658659440918,0.10322733085401188,0.34015825914935705,0.49782393669634023,2.444905996322632,1.6177009344100952
31,3.6569927544820877,0.9990814527941213,4.909555574552949,0.11167161226508407,0.22987140715122223,0.30830860137939453,0.1402085610652083,0.10896682282770993,0.10391008241515436,0.3403560830860534,0.5009891196834817,2.4483678340911865,1.621296763420105
32,3.6570138734484474,0.999131103994439,4.909506504424837,0.11196834817012859,0.2317507416009903,0.306627094745636,0.13613052025897346,0.10957925922643666,0.10294213254046417,0.34183976261127597,0.5003956478733926,2.4533135890960693,1.6313607692718506
33,3.6569174603810386,0.9990814527941213,4.911899260550177,0.11068249258160237,0.23184964060783386,0.30464884638786316,0.13647303711930578,0.10797555938684973,0.10214772985703294,0.337784371909001,0.5007912957467854,2.4514341354370117,1.6250479221343994
34,3.656967510495867,0.9989076735930091,4.908565597411551,0.11345202769535113,0.23006923496723175,0.30415430665016174,0.14063944225076358,0.11037913139727658,0.10507693768210496,0.34055390702274974,0.49871414441147377,2.448664665222168,1.627821445465088
35,3.6570180310143363,0.9990566271939624,4.90863344553788,0.11483679525222552,0.2291790246963501,0.3087042570114136,0.13636678349659942,0.11187799096065225,0.10513071083869269,0.34342235410484667,0.49970326409495547,2.4482691287994385,1.6391335725784302
36,3.6567787151488047,0.999131103994439,4.907521694751215,0.11206726013847676,0.231453999876976,0.3065281808376312,0.13614853178559896,0.10871022458724072,0.10321136752500576,0.3411473788328388,0.49930761622156283,2.453709125518799,1.6310688257217407
37,3.656840643428621,0.999131103994439,4.908445110660632,0.11374876360039565,0.23135508596897125,0.3060336112976074,0.1406942802372571,0.110888764013764,0.10497673621761343,0.34322453016815035,0.5018793273986152,2.444905996322632,1.6267259120941162
