,alt,blu,brb,cla,con,cou,dnb,dtp,fol,gld,gos,hcp,hct,hou,ind,jam,jaz,met,pop,pwv,rap,rnb,rnr,tec,tra,uti,woA,woB,woC
alt,105,9,4,1,16,7,0,17,2,21,1,18,1,5,22,1,5,89,7,67,1,1,4,1,1,2,0,0,0
blu,2,123,3,0,1,25,1,17,14,25,14,0,0,0,0,15,71,6,7,3,0,55,29,1,2,8,1,9,0
brb,3,0,147,1,0,0,25,9,1,1,1,1,38,39,15,25,30,6,2,2,58,8,2,11,7,0,0,0,0
cla,0,0,0,20,0,0,0,10,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,11,0,0,0
con,34,9,9,3,28,11,7,2,0,44,6,6,1,6,14,8,14,10,39,23,0,26,3,7,1,0,0,1,0
cou,10,8,2,0,12,97,1,10,42,28,14,5,3,2,4,2,30,5,2,3,0,22,27,1,0,2,0,0,4
dnb,9,0,23,3,2,0,285,24,0,4,0,0,23,7,4,2,2,3,6,0,11,4,1,15,3,0,0,0,1
dtp,9,17,36,6,4,3,19,131,1,28,3,2,9,20,46,1,23,3,21,13,18,11,0,29,40,6,2,3,0
fol,7,4,0,1,0,1,0,5,0,0,3,0,0,0,1,0,3,0,1,1,0,4,0,0,0,3,8,1,5
gld,13,9,3,2,2,19,1,6,0,129,3,2,5,2,16,5,17,19,28,25,3,34,12,3,0,0,1,0,1
gos,0,11,7,1,2,4,3,13,1,0,44,0,0,0,0,0,11,2,1,0,0,16,1,1,0,1,0,0,1
hcp,39,0,1,1,18,0,2,4,0,9,0,57,3,5,7,0,0,97,1,18,3,10,0,1,3,0,0,0,0
hct,2,0,27,0,0,2,19,11,0,3,9,0,163,21,50,5,6,1,0,8,1,7,0,49,23,0,0,0,1
hou,0,0,24,0,7,0,10,9,0,7,0,1,65,183,15,10,9,1,14,0,8,29,2,55,67,0,0,3,3
ind,26,0,9,4,5,2,7,37,0,23,0,7,11,48,128,0,13,38,13,38,13,4,2,36,37,1,2,0,0
jam,5,2,30,0,0,1,18,7,13,7,0,0,1,10,6,251,16,0,7,15,40,21,3,3,0,0,0,0,0
jaz,0,28,20,5,1,10,1,37,0,18,12,4,1,14,5,21,244,2,5,1,17,34,6,1,2,1,0,6,8
met,55,15,1,0,11,3,0,10,0,14,1,68,4,5,34,0,3,267,18,57,4,2,2,0,1,0,0,0,1
pop,17,8,82,2,26,9,3,16,12,44,9,3,6,37,16,8,18,50,82,36,14,84,15,11,11,2,0,3,0
pwv,18,3,14,0,7,10,0,1,2,44,2,39,1,1,20,11,4,32,30,86,4,12,3,0,3,0,0,0,1
rap,3,1,50,0,0,0,19,13,0,2,2,3,5,23,0,28,4,1,4,0,246,18,0,18,3,0,0,1,0
rnb,9,31,33,1,2,10,19,16,5,40,1,7,2,8,6,35,41,1,24,21,33,231,16,0,0,0,1,4,3
rnr,7,13,3,1,0,20,3,3,8,25,2,0,1,0,12,6,31,1,2,3,0,17,50,0,0,3,2,0,0
tec,0,0,23,0,1,0,11,19,0,1,0,1,27,46,19,1,0,2,4,5,2,3,0,79,44,0,0,0,0
tra,4,0,11,0,0,0,9,3,0,3,0,1,8,48,3,0,0,0,5,0,2,0,0,35,202,0,0,1,1
uti,0,1,0,21,0,3,0,8,1,4,13,0,1,0,6,0,24,1,2,1,0,2,5,0,0,51,0,0,0
woA,0,1,3,0,0,2,0,1,0,1,0,0,1,1,1,7,12,0,0,1,0,7,4,0,0,0,40,10,4
woB,0,0,4,0,2,3,2,13,6,0,1,0,14,11,0,15,25,0,3,0,8,4,1,0,0,5,1,26,0
woC,1,1,12,1,0,1,0,11,2,11,2,0,4,1,1,6,11,1,4,4,19,33,0,2,10,0,3,4,47
