,alt,blu,brb,cla,con,cou,dnb,dtp,fol,gld,gos,hcp,hct,hou,ind,jam,jaz,met,pop,pwv,rap,rnb,rnr,tec,tra,uti,woA,woB,woC
alt,44,11,12,0,13,16,0,19,0,29,1,32,2,0,22,3,1,138,26,25,2,5,1,0,2,2,2,0,0
blu,2,182,0,3,3,10,0,23,7,13,21,1,0,0,1,10,30,4,13,2,0,33,23,0,0,7,2,16,26
brb,1,2,115,0,0,3,36,13,0,0,5,3,21,28,23,48,14,13,4,3,50,11,1,9,16,5,5,0,3
cla,3,0,0,11,0,0,0,6,0,0,0,0,1,0,7,0,7,2,0,0,0,0,1,0,0,9,0,1,0
con,26,25,1,1,26,11,19,0,2,21,3,8,2,3,14,6,3,18,45,20,10,20,9,0,1,3,4,3,8
cou,8,23,0,1,4,117,0,13,21,34,13,2,0,1,6,4,12,12,12,1,1,14,17,0,0,11,1,0,8
dnb,10,0,33,2,4,1,268,23,0,1,1,6,19,7,7,5,5,5,3,2,9,8,0,3,2,1,2,3,2
dtp,7,15,10,5,9,2,26,110,1,5,9,2,9,8,56,2,18,21,28,13,25,15,0,19,47,20,10,10,2
fol,2,10,0,1,0,0,0,3,1,14,1,1,0,0,0,0,0,0,5,0,0,0,2,0,0,3,4,0,1
gld,8,23,1,0,13,29,1,8,0,80,10,2,2,1,4,1,20,23,71,5,0,36,3,1,4,6,1,4,3
gos,0,21,0,0,0,7,0,4,3,2,21,0,0,0,0,0,7,0,13,0,0,8,2,0,0,16,8,8,0
hcp,41,0,1,0,22,2,0,3,0,4,0,68,8,1,15,0,0,85,4,14,8,0,0,3,0,0,0,0,0
hct,0,0,8,1,1,0,29,19,1,0,12,1,200,24,44,3,2,5,2,4,2,6,1,14,12,7,1,3,6
hou,2,0,20,1,1,0,12,7,0,2,0,3,72,154,26,25,2,6,13,0,9,47,0,33,79,0,0,6,2
ind,18,6,1,4,16,4,10,28,4,12,1,35,18,26,133,6,7,51,33,25,3,12,0,14,26,1,2,3,5
jam,11,6,16,0,0,2,11,2,2,4,1,0,2,16,0,237,10,0,2,2,46,39,10,0,2,0,3,15,17
jaz,1,91,6,1,3,11,4,36,0,4,2,1,0,5,2,32,212,4,10,4,12,17,1,0,0,10,7,14,14
met,32,9,1,0,9,6,0,4,0,12,0,43,1,3,42,3,4,364,16,16,2,4,2,0,1,1,0,0,1
pop,16,19,39,0,13,15,2,14,2,34,15,9,2,20,42,8,4,66,112,21,19,92,15,8,13,5,1,14,4
pwv,17,3,2,0,11,8,0,2,0,21,4,33,5,0,17,12,4,52,39,89,1,18,5,0,1,0,0,0,4
rap,1,3,34,0,2,1,4,1,0,0,0,4,9,21,1,36,4,2,9,0,278,21,0,2,0,0,1,1,9
rnb,2,45,27,0,12,7,14,20,1,14,20,0,1,7,6,19,39,4,38,18,35,199,15,1,1,4,5,3,43
rnr,2,23,1,1,2,17,0,4,6,14,21,0,0,0,2,11,13,1,14,0,0,22,53,0,0,3,0,0,3
tec,2,0,17,0,2,0,11,14,0,0,0,0,30,56,6,6,0,4,3,0,2,0,0,65,69,0,0,0,1
tra,0,0,8,0,1,2,7,10,1,0,0,0,26,43,2,2,0,4,10,0,0,0,0,42,174,2,2,0,0
uti,0,5,0,7,0,5,0,4,3,4,9,0,0,0,0,0,10,6,3,1,0,3,0,0,0,84,0,0,0
woA,0,6,0,0,0,1,0,5,0,0,3,0,1,0,0,9,5,0,1,0,0,10,0,0,0,1,31,21,2
woB,0,0,5,0,3,0,0,4,0,2,3,0,12,10,1,17,4,0,1,0,1,2,2,0,0,6,5,66,0
woC,0,11,1,0,0,2,2,7,0,4,5,0,0,1,6,13,2,1,4,10,8,32,0,2,2,0,7,2,70
